45.38971,11.87044
45.38977,11.87048
45.38966,11.87037
45.38956,11.87028
45.38949,11.8702
45.38948,11.87019
45.38942,11.87011
45.38937,11.87003
45.38934,11.86998
45.3893,11.86993
45.38927,11.86989
45.38913,11.86981
45.38902,11.86974
45.38897,11.8697
45.38885,11.8696
45.38807,11.86891
45.38795,11.86881
45.38786,11.86872
45.38779,11.86865
45.38772,11.86856
45.38766,11.86847
45.38729,11.86779
45.38721,11.86766
45.38709,11.86741
45.38705,11.86731
45.38702,11.86723
45.38701,11.86715
45.38701,11.86707
45.38702,11.86699
45.38704,11.86693
45.3871,11.8668
45.38711,11.86679
45.38714,11.86675
45.38743,11.86634
45.38746,11.86626
45.38749,11.86618
45.3875,11.86609
45.3875,11.86601
45.38748,11.8659
45.38744,11.86579
45.38719,11.86522
45.3864,11.86342
45.38636,11.86332
45.38633,11.86328
45.38631,11.86328
45.38624,11.86328
45.38594,11.86337
45.38575,11.86346
45.38574,11.86346
45.38572,11.86348
45.38571,11.86348
45.38566,11.86347
45.3856,11.86347
45.38555,11.86349
45.38548,11.86352
45.38542,11.86354
45.38533,11.86355
45.38525,11.86353
45.38517,11.8635
45.38503,11.86337
45.38487,11.8631
45.38485,11.86307
45.38479,11.86302
45.38478,11.86302
45.38476,11.86304
45.38476,11.86305
45.38476,11.8631
45.38478,11.86314
45.38477,11.86324
45.38476,11.86328
45.38474,11.86331
45.38472,11.86334
45.3847,11.86335
45.38467,11.86336
45.38461,11.86338
45.38456,11.86339
45.38449,11.86344
45.38447,11.86344
45.38427,11.8635
45.38403,11.8636
45.38388,11.86366
45.38388,11.8637
45.38388,11.86374
45.38389,11.86381
45.3839,11.86393
45.38358,11.864
